trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230523,000565.SZ,渝三峡Ａ,染料涂料,重庆,0.0,4.34,4.34,15.68,5.45,2.75,0.62,0.14,-0.04,2.96,1.94,19940408,6.2,1.43,13.77,-134.29,25.71,-15.32,31250
20230523,000566.SZ,海南海药,化学制药,海南,347.98,11.65,12.97,76.88,28.39,15.76,28.08,2.16,0.004,1.67,3.0,19940525,-19.93,-1.54,-10.58,126.44,39.24,0.11,52823
20230523,000567.SZ,海德股份,多元金融,海南,22.58,9.28,9.3,80.17,20.09,0.05,30.64,3.3,0.207,5.75,3.24,19940525,12.31,1.32,51.65,50.84,92.82,63.18,18153
20230523,000568.SZ,泸州老窖,白酒,四川,21.88,14.65,14.72,583.41,407.33,87.18,49.15,3.34,2.53,25.76,8.57,19940509,304.85,20.71,20.57,29.1,88.09,48.91,86898
20230523,000570.SZ,苏常柴Ａ,农用机械,江苏,37.0,4.99,7.06,53.61,29.41,7.11,6.4,0.91,0.034,4.8,1.05,19940701,9.39,1.33,4.05,176.99,13.24,3.67,49998
20230523,000571.SZ,ST大洲,煤炭开采,海南,0.0,8.14,8.14,30.53,6.7,13.41,6.65,0.82,-0.024,0.45,5.19,19940525,-12.42,-1.53,-14.69,-155.7,36.6,1.74,49553
20230523,000572.SZ,海马汽车,汽车整车,海南,0.0,16.42,16.45,64.78,31.71,17.23,37.68,2.29,-0.032,1.25,3.32,19940808,-35.32,-2.15,44.74,14.48,7.8,-3.28,85269
20230523,000573.SZ,粤宏远Ａ,电气设备,广东,64.9,6.33,6.38,25.96,10.18,0.79,5.41,0.85,0.013,2.61,1.31,19940815,2.32,0.36,-27.79,233.48,15.38,8.01,62462
20230523,000576.SZ,甘化科工,食品,广东,52.93,4.29,4.43,20.03,8.83,0.59,7.1,1.6,0.05,4.02,2.55,19940907,5.94,1.34,-5.88,-14.94,68.0,25.18,27845
20230523,000581.SZ,威孚高科,汽车配件,江苏,9.6,8.24,10.08,289.15,141.62,37.0,33.96,3.37,0.43,17.91,0.88,19980924,137.35,13.62,-27.25,-42.45,14.38,13.53,69132
