trade_date,股票代码,open,close,high,low,vol,amount,振幅,ratio,change,turn_over
2019-07-26,600105,4.09,4.08,4.09,4.04,60971,25410475.0,1.23,0.25,0.01,0.49
2019-07-29,600105,4.08,4.0,4.09,3.98,82819,34140270.0,2.7,-1.96,-0.08,0.67
2019-07-30,600105,4.0,4.03,4.06,3.98,69253,28585555.0,2.0,0.75,0.03,0.56
2019-07-31,600105,4.01,3.95,4.05,3.94,80466,32708205.0,2.73,-1.99,-0.08,0.65
2019-08-01,600105,3.92,3.84,3.92,3.81,120115,47506977.0,2.78,-2.78,-0.11,0.97
2019-08-02,600105,3.77,3.72,3.77,3.67,121572,46493450.0,2.6,-3.13,-0.12,0.98
2019-08-05,600105,3.72,3.71,3.82,3.69,91962,35449705.0,3.49,-0.27,-0.01,0.74
2019-08-06,600105,3.68,3.55,3.68,3.42,149654,54183921.0,7.01,-4.31,-0.16,1.21
2019-08-07,600105,3.56,3.92,3.92,3.56,306890,119264722.0,10.14,10.42,0.37,2.48
2019-08-08,600105,4.04,4.08,4.28,3.87,572417,239906142.0,10.46,4.08,0.16,4.62
2019-08-09,600105,4.12,4.06,4.23,3.97,336593,141242940.0,6.37,-0.49,-0.02,2.72
2019-08-12,600105,4.0,4.03,4.07,3.92,217891,88976484.0,3.69,-0.74,-0.03,1.76
2019-08-13,600105,4.04,3.94,4.04,3.92,139324,56447911.0,2.98,-2.23,-0.09,1.13
2019-08-14,600105,4.06,3.97,4.07,3.93,150977,61731774.0,3.55,0.76,0.03,1.22
2019-08-15,600105,3.84,3.95,3.96,3.75,140903,55728633.0,5.29,-0.5,-0.02,1.14
2019-08-16,600105,4.02,3.94,4.03,3.93,128848,52487466.0,2.53,-0.25,-0.01,1.04
2019-08-19,600105,4.03,4.08,4.09,3.95,182624,75599066.0,3.55,3.55,0.14,1.47
2019-08-20,600105,4.06,4.04,4.15,4.02,158412,66153748.0,3.19,-0.98,-0.04,1.28
2019-08-21,600105,4.05,4.0,4.05,3.96,133606,54680361.0,2.23,-0.99,-0.04,1.08
2019-08-22,600105,4.04,4.1,4.12,3.98,195261,81253354.0,3.5,2.5,0.1,1.58
2019-08-23,600105,4.11,4.03,4.12,4.0,125634,52032314.0,2.93,-1.71,-0.07,1.01
2019-08-26,600105,3.91,3.94,3.97,3.87,92446,37267519.0,2.48,-2.23,-0.09,0.75
2019-08-27,600105,3.97,4.07,4.08,3.95,123822,51138972.0,3.3,3.3,0.13,1.0
2019-08-28,600105,4.06,4.11,4.15,4.0,158500,66198041.0,3.69,0.98,0.04,1.28
2019-08-29,600105,4.1,4.05,4.14,4.05,103054,43230061.0,2.19,-1.46,-0.06,0.83
2019-08-30,600105,4.09,3.98,4.11,3.93,109427,45111429.0,4.44,-1.73,-0.07,0.88
2019-09-02,600105,3.95,4.06,4.07,3.95,104679,43198560.0,3.02,2.01,0.08,0.85
2019-09-03,600105,4.07,4.19,4.24,4.05,266258,113578168.0,4.68,3.2,0.13,2.15
2019-09-04,600105,4.17,4.22,4.26,4.14,197952,85109017.0,2.86,0.72,0.03,1.6
2019-09-05,600105,4.28,4.32,4.45,4.28,295681,132030361.0,4.03,2.37,0.1,2.39
2019-09-06,600105,4.4,4.36,4.45,4.3,221460,99216279.0,3.47,0.93,0.04,1.79
2019-09-09,600105,4.43,4.53,4.56,4.36,287344,130904358.0,4.59,3.9,0.17,2.32
2019-09-10,600105,4.53,4.46,4.53,4.4,195514,89092037.0,2.87,-1.55,-0.07,1.58
2019-09-11,600105,4.45,4.37,4.48,4.37,128958,58161583.0,2.47,-2.02,-0.09,1.04
2019-09-12,600105,4.38,4.41,4.43,4.37,98892,44494001.0,1.37,0.92,0.04,0.8
2019-09-16,600105,4.41,4.43,4.46,4.37,103892,47049250.0,2.04,0.45,0.02,0.84
2019-09-17,600105,4.41,4.28,4.42,4.23,139251,61291673.0,4.29,-3.39,-0.15,1.12
2019-09-18,600105,4.28,4.28,4.31,4.24,76486,33432713.0,1.64,0.0,0.0,0.62
2019-09-19,600105,4.32,4.37,4.45,4.3,193700,86502495.0,3.5,2.1,0.09,1.56
2019-09-20,600105,4.37,4.38,4.43,4.3,123648,55270592.0,2.97,0.23,0.01,1.0
2019-09-23,600105,4.35,4.33,4.37,4.23,111114,48577869.0,3.2,-1.14,-0.05,0.9
2019-09-24,600105,4.32,4.34,4.39,4.29,102919,45729416.0,2.31,0.23,0.01,0.83
2019-09-25,600105,4.3,4.18,4.33,4.16,126228,54641343.0,3.92,-3.69,-0.16,1.02
2019-09-26,600105,4.2,4.0,4.23,3.99,123187,51438024.0,5.74,-4.31,-0.18,0.99
2019-09-27,600105,4.0,4.0,4.05,3.98,82243,33816765.0,1.75,0.0,0.0,0.66
2019-09-30,600105,3.97,3.9,4.0,3.89,105275,42334065.0,2.75,-2.5,-0.1,0.85
2019-10-08,600105,3.88,3.86,3.93,3.84,84443,33681675.0,2.31,-1.03,-0.04,0.68
2019-10-09,600105,3.82,3.89,3.9,3.8,95726,37957637.0,2.59,0.78,0.03,0.77
2019-10-10,600105,3.9,3.91,3.94,3.86,91529,36643479.0,2.06,0.51,0.02,0.74
2019-10-11,600105,3.93,3.9,3.94,3.84,89272,35632735.0,2.56,-0.26,-0.01,0.72
2019-10-14,600105,4.0,3.94,4.0,3.92,110817,44932690.0,2.05,1.03,0.04,0.89
2019-10-15,600105,3.92,3.85,3.94,3.83,96387,38231256.0,2.79,-2.28,-0.09,0.78
2019-10-16,600105,3.85,3.77,3.88,3.76,123193,48076157.0,3.12,-2.08,-0.08,0.99
2019-10-17,600105,3.8,3.78,3.8,3.75,81813,31718578.0,1.33,0.27,0.01,0.66
2019-10-18,600105,3.78,3.91,3.97,3.78,231000,92254972.0,5.03,3.44,0.13,1.87
2019-10-21,600105,3.92,3.96,3.97,3.81,203304,81655605.0,4.09,1.28,0.05,1.64
2019-10-22,600105,3.92,3.98,4.0,3.9,130306,52795055.0,2.53,0.51,0.02,1.05
2019-10-23,600105,4.02,3.91,4.03,3.9,92089,37202510.0,3.27,-1.76,-0.07,0.74
2019-10-24,600105,3.9,3.9,3.94,3.86,86603,34636477.0,2.05,-0.26,-0.01,0.7
2019-10-25,600105,3.9,3.93,3.94,3.87,66076,26511082.0,1.79,0.77,0.03,0.53
2019-10-28,600105,3.98,4.18,4.21,3.94,244269,102307579.0,6.87,6.36,0.25,1.97
2019-10-29,600105,4.12,4.09,4.23,4.09,175075,74284577.0,3.35,-2.15,-0.09,1.41
2019-10-30,600105,4.03,4.02,4.12,3.99,133802,55463004.0,3.18,-1.71,-0.07,1.08
2019-10-31,600105,4.02,3.98,4.09,3.96,99539,40997349.0,3.23,-1.0,-0.04,0.8
2019-11-01,600105,4.0,4.03,4.03,3.94,84661,34686747.0,2.26,1.26,0.05,0.68
2019-11-04,600105,4.05,3.94,4.06,3.94,119307,48745822.0,2.98,-2.23,-0.09,0.96
2019-11-05,600105,3.97,3.86,3.97,3.8,136994,54336426.0,4.31,-2.03,-0.08,1.11
2019-11-06,600105,3.88,3.77,3.88,3.76,111292,43391286.0,3.11,-2.33,-0.09,0.9
2019-11-07,600105,3.77,3.78,3.81,3.71,56628,21910886.0,2.65,0.27,0.01,0.46
2019-11-08,600105,3.8,3.76,3.85,3.76,60632,23578256.0,2.38,-0.53,-0.02,0.49
2019-11-11,600105,3.74,3.64,3.74,3.62,83974,31548296.0,3.19,-3.19,-0.12,0.68
2019-11-12,600105,3.62,3.53,3.65,3.5,124087,45630336.0,4.12,-3.02,-0.11,1.0
2019-11-13,600105,3.54,3.58,3.63,3.53,87035,32027231.0,2.83,1.42,0.05,0.7
2019-11-14,600105,3.57,3.55,3.6,3.53,58618,21440357.0,1.96,-0.84,-0.03,0.47
2019-11-15,600105,3.53,3.48,3.55,3.47,56280,20269438.0,2.25,-1.97,-0.07,0.45
2019-11-18,600105,3.47,3.52,3.52,3.43,52127,18686195.0,2.59,1.15,0.04,0.42
2019-11-19,600105,3.51,3.64,3.65,3.51,77476,28584614.0,3.98,3.41,0.12,0.63
